time_s,Bx_T,By_T,Bz_T,magnitude_T
0.000000e0,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.000000e-7,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
4.000000e-7,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
6.000000e-7,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
8.000000e-7,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
4.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
4.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
4.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
4.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
4.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
5.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
5.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
5.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
5.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
5.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
6.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
6.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
6.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
6.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
6.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
7.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
7.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
7.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
7.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
7.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
8.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
8.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
8.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
8.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
8.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
9.000000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
9.200000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
9.400000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
9.600000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
9.800000e-6,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.000000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.020000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
